,Predicted Value,Actual Value
0,0.0,-1.77075270362
1,39.4,3.74691612614
2,0.0,3.68460865224
3,0.0,2.80450647431
4,9.4,3.46191685216
5,0.2,0.700893501932
6,4.4,1.99638607532
7,0.0,-0.66944114391
8,0.2,2.22856806128
9,0.0,-1.43870422432
10,0.4,0.675579036052
11,0.0,1.26588524706
12,0.0,1.21375276054
13,1.08395415473,0.697073972943
14,0.0,2.56228056038
15,0.0,1.97406145738
16,0.0,-0.177122739473
17,0.0,-0.591491794128
18,0.0,2.06096978491
19,0.0,-1.52841667716
20,0.0,0.836064446477
21,0.0,1.75669296528
22,0.0,2.01684752688
23,0.0,3.1197588165
24,0.0,2.13976463451
25,0.2,3.59851662784
26,8.4,3.44730981038
27,0.0,1.84165356275
28,1.8,0.772546161646
29,0.0,0.21893258576
30,2.2,1.39910449601
31,2.0,-0.216594497819
32,0.0,0.881449911706
33,0.0,1.82818646565
34,0.0,1.33761559046
35,0.4,0.882996139365
36,0.0,-1.13704950523
37,1.08395415473,1.69781915879
38,0.0,-1.56781582767
39,1.0,1.28633784074
40,0.0,2.23144603875
41,0.0,1.8822350266
42,0.0,1.11243552248
43,0.0,0.12521675587
44,0.0,1.97630844596
45,0.0,2.41196279216
46,0.2,1.42379425584
47,0.0,-1.37998035208
48,0.0,0.508924715771
49,0.0,-1.21108753985
50,0.0,0.73663734817
51,0.0,-0.397231488258
52,0.0,0.370847264206
53,0.0,1.03474491521
54,0.0,1.07117382877
55,0.0,1.40796415775
56,0.2,1.26266864303
57,0.0,2.18616919171
58,0.0,1.02670222329
59,0.0,2.41873699366
60,0.0,-0.487513348688
61,0.0,1.41216753633
62,0.0,-1.7402167422
63,0.0,0.198162224041
64,1.8,2.31373122544
65,0.0,3.33374497892
66,0.0,2.24788167695
67,0.0,1.75306003588
68,3.6,1.86704020459
69,0.2,2.5676841517
70,0.2,1.54398442177
71,0.0,3.2178138803
72,0.0,-0.283034095652
73,0.0,1.66056990119
74,0.0,0.520197019614
75,1.6,2.46121063773
76,0.2,1.61788765369
77,0.0,1.64988267637
78,0.0,0.979912306041
79,0.0,1.98347095988
80,0.0,2.15340324466
81,0.0,0.596164158139
82,0.2,4.15130249656
83,0.0,-0.314384233528
84,0.0,-0.586644196433
85,0.0,0.29059520936
86,0.2,-1.09778490418
87,1.08395415473,-0.768790105471
88,17.0,4.03988039471
89,13.4,4.77414488323
90,0.0,1.23438137137
91,9.4,2.28292490469
92,0.0,-1.70793847562
93,7.6,4.90398275786
94,0.0,0.895897914724
95,0.0,2.47224532813
96,0.2,2.17401348571
97,0.0,0.742186564508
98,0.0,-0.0629939350805
99,0.0,-1.63115655759
100,19.4,5.0951463708
101,0.0,1.34455316258
102,0.0,1.01725663352
103,0.0,0.0425088118085
104,0.0,1.26484351666
105,0.0,1.30114712791
106,0.0,2.15197906382
107,0.2,1.15270079532
108,0.6,2.31723208751
109,0.0,1.74491604583
110,0.0,0.0258815861604
111,0.0,2.48897020254
112,0.0,2.3878902428
113,0.0,1.10263582454
114,0.0,1.07934203058
115,9.6,3.84610867766
116,0.0,-0.303551833806
117,1.0,1.6129518471
118,0.0,-0.878917767623
119,0.0,1.99688339914
120,0.0,1.84637852429
121,0.0,-1.94008849532
122,0.0,2.14202614147
123,0.0,0.00618024661628
124,0.0,0.00532018917716
125,6.4,2.89255196033
126,0.0,1.38375102257
127,0.0,-0.17847100497
128,0.0,2.52008681946
129,0.0,0.643799033226
130,0.0,1.36285352064
131,0.0,1.0166072934
132,0.0,1.49555262143
133,0.0,-1.96453357647
134,0.0,0.581101040732
135,0.0,0.182428107008
136,0.0,1.3247205806
137,0.0,0.587407032477
138,0.4,2.8350137266
139,4.6,-0.299754709603
140,0.0,0.984428377213
141,1.0,2.74019398349
142,0.0,0.792122977486
143,0.0,1.97929077193
144,0.0,2.24881134893
145,0.0,-0.0835299583409
146,0.0,1.4816257331
147,0.0,1.18120318419
148,13.0,3.65622418203
149,0.0,-0.793610777514
150,0.0,-0.305938112124
151,0.0,0.555546447203
152,0.0,2.32549351
153,0.0,-1.29506393719
154,0.0,1.6371536226
155,0.2,1.04459338844
156,0.0,2.01016356856
157,0.0,2.14122631195
158,0.0,0.438141271605
159,0.0,-0.4106429721
160,0.0,1.45627707896
161,0.0,0.414303239458
162,0.2,0.231050314165
163,0.2,2.93752847845
164,0.0,0.948484268808
165,0.0,1.44771293049
166,0.0,0.72387380624
167,0.2,3.52176529812
168,0.0,-0.498018899813
