A-OK,0,,,,,,Adjective ,0
AWOL,0,,,,,,Adverb,1
Aaronic,0,,,,,,Noun,2
Aaronical,0,,,,,,verb,3
Abbevillian,0,,,,,,,
Aberdeen,0,,,,,,,
Abyssinian,0,,,,,,,
Acadian,0,,,,,,,
Accadian,0,,,,,,,
Achaean,0,,,,,,,
Acheulean,0,,,,,,,
Acheulian,0,,,,,,,
Achillean,0,,,,,,,
Adam,0,,,,,,,
Adamic,0,,,,,,,
Adamitic,0,,,,,,,
Adamitical,0,,,,,,,
Adonic,0,,,,,,,
Adriatic,0,,,,,,,
Aegean,0,,,,,,,
Aeneolithic,0,,,,,,,
Aeolic,0,,,,,,,
Aesculapian,0,,,,,,,
Afric,0,,,,,,,
African,0,,,,,,,
Afro-American,0,,,,,,,
Afro-Asian,0,,,,,,,
Akkadian,0,,,,,,,
Alabaman,0,,,,,,,
Alabamian,0,,,,,,,
Alaskan,0,,,,,,,
Albanian,0,,,,,,,
Albigensian,0,,,,,,,
Alcaic,0,,,,,,,
Alcibiadean,0,,,,,,,
Aldine,0,,,,,,,
Alemannic,0,,,,,,,
Alexandrian,0,,,,,,,
Algerian,0,,,,,,,
Algonkian,0,,,,,,,
Algonkin,0,,,,,,,
Algonquian,0,,,,,,,
Algonquin,0,,,,,,,
Alhambresque,0,,,,,,,
Alice-in-Wonderland,0,,,,,,,
Alsatian,0,,,,,,,
Altaic,0,,,,,,,
American,0,,,,,,,
Amerindian,0,,,,,,,
Amerindic,0,,,,,,,
Amharic,0,,,,,,,
Amish,0,,,,,,,
Anacreontic,0,,,,,,,
Anatolian,0,,,,,,,
Andalusian,0,,,,,,,
Andean,0,,,,,,,
Andorra,0,,,,,,,
Andorran,0,,,,,,,
Angevin,0,,,,,,,
Anglian,0,,,,,,,
Anglican,0,,,,,,,
Anglo-American,0,,,,,,,
Anglo-Catholic,0,,,,,,,
Anglo-French,0,,,,,,,
Anglo-Indian,0,,,,,,,
Anglo-Irish,0,,,,,,,
Anglo-Norman,0,,,,,,,
Anglo-Saxon,0,,,,,,,
Anglophobiac,0,,,,,,,
Antarctic,0,,,,,,,
Antiguan,0,,,,,,,
Antiochian,0,,,,,,,
Apollonian,0,,,,,,,
Appalachian,0,,,,,,,
Aquarius,0,,,,,,,
Arabian,0,,,,,,,
Arabic,0,,,,,,,
Aragon,0,,,,,,,
Aramaic,0,,,,,,,
Aran,0,,,,,,,
Arawakan,0,,,,,,,
Arcadian,0,,,,,,,
Archaean,0,,,,,,,
Archilochian,0,,,,,,,
Archimedean,0,,,,,,,
Arctogaean,0,,,,,,,
Areopagitic,0,,,,,,,
Argentine,0,,,,,,,
Argive,0,,,,,,,
Arian,0,,,,,,,
Aristophanic,0,,,,,,,
Aristotelian,0,,,,,,,
Arizonan,0,,,,,,,
Arizonian,0,,,,,,,
Arkansan,0,,,,,,,
Armenian,0,,,,,,,
Armenoid,0,,,,,,,
Arminian,0,,,,,,,
Armorican,0,,,,,,,
Arthurian,0,,,,,,,
Aryan,0,,,,,,,
Asclepiadean,0,,,,,,,
Asian,0,,,,,,,
Asianic,0,,,,,,,
Asiatic,0,,,,,,,
Assamese,0,,,,,,,
Assyrian,0,,,,,,,
Athanasian,0,,,,,,,
Athenian,0,,,,,,,
Atlantean,0,,,,,,,
Atlantic,0,,,,,,,
Aubusson,0,,,,,,,
Augean,0,,,,,,,
Augustan,0,,,,,,,
Augustinian,0,,,,,,,
Aurignacian,0,,,,,,,
Australasian,0,,,,,,,
Australian,0,,,,,,,
Australoid,0,,,,,,,
Australopithecine,0,,,,,,,
Austrian,0,,,,,,,
Austroasiatic,0,,,,,,,
Austronesian,0,,,,,,,
Avestan,0,,,,,,,
Aymaran,0,,,,,,,
Azilian,0,,,,,,,
Aztec,0,,,,,,,
Aztecan,0,,,,,,,
Babist,0,,,,,,,
Babylonian,0,,,,,,,
Babylonish,0,,,,,,,
Bacchic,0,,,,,,,
Baconian,0,,,,,,,
Bactrian,0,,,,,,,
Bahai,0,,,,,,,
Bahamian,0,,,,,,,
Balaamitical,0,,,,,,,
Balinese,0,,,,,,,
Balkan,0,,,,,,,
Baltic,0,,,,,,,
Baluchi,0,,,,,,,
Bantu,0,,,,,,,
Barbadian,0,,,,,,,
Barmecidal,0,,,,,,,
Barmecide,0,,,,,,,
Bathonian,0,,,,,,,
Bavarian,0,,,,,,,
Belgian,0,,,,,,,
Belgic,0,,,,,,,
Belgravian,0,,,,,,,
Belorussian,0,,,,,,,
Bengalese,0,,,,,,,
Bengali,0,,,,,,,
Bentham,0,,,,,,,
Berber,0,,,,,,,
Bergsonian,0,,,,,,,
Berkeleian,0,,,,,,,
Bermuda,0,,,,,,,
Bermudan,0,,,,,,,
Bermudian,0,,,,,,,
Bernardine,0,,,,,,,
Bessarabian,0,,,,,,,
Bhutan,0,,,,,,,
Biafran,0,,,,,,,
Biedermeier,0,,,,,,,
Bihari,0,,,,,,,
Bloomsbury,0,,,,,,,
Boeotian,0,,,,,,,
Bohemian,0,,,,,,,
Bolivian,0,,,,,,,
